id,nombre,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,universidad_calle_numero,universidad_colonia,universidad_cp,gmaps_longitud,gmaps_latitud,,
1262,Universidad Interamericana para el Desarrollo<br>Sede Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Convención de 1914 Pte. 1204,Col. Panorama,20040,-102.31293,21.88661,,
436,"Tecnológico de Monterrey, Campus Aguascalientes",1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Eugenio Garza Sada 1500 ,Col. Los Pocitos,20328,-102.34082,21.93353,,
1258,Universidad de Estudios Avanzados,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Héroes de Nacozari Sur 402 ,Col. San Luis,20250,-102.28118,21.87798,,
1370,"Universidad Autónoma de Durango, Campus Aguascalientes",1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"Av. Independencia 1861 int. 16, 17 y 18, Plaza GBS","Fracc. Jardines de la Concepción, 2da. sección",20120,-102.30677,21.91668,,
739,Universidad Autónoma de Aguascalientes (UAA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"Av. Universidad 940, edif. 1",Ciudad Universitaria,20131,-102.31315,21.91377,,
2659,Instituto Superior de Sistema Abierto de Enseñanza,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Aguascalientes Pte. 2017,,,-102.29605,21.87982,,
119,"Universidad del Valle de México, Campus Aguascalientes",1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Blvd. Juan Pablo II 1144 esq. Héroes de Chapultepec,Col. Loma Bonita,20207,-102.34221,21.85836,,
1277,Centro de Actualización del Magisterio,1,Aguascalientes,5,Jesús María,1,Jesús María,Av. Ayuntamiento 406,Col. Cedros,20270,-102.34889,21.96358,,
2597,Instituto Tecnológico de Pabellón de Artega,1,Aguascalientes,6,Pabellón de Arteaga,1,Pabellón de Arteaga,Carr. Estación de Rincón Km 1l. ,,20670,0,0,,
2671,"Universidad Villasunción, Campus Encarnación de Díaz",1,Aguascalientes,7,Rincón de Romos,1,Rincón de Romos,Hermenegildo Galeana 24,Col. Independencia,20410,-102.32307,22.22923,,
284,"Universidad Tecnológica del Norte de Aguascalientes, Campus Rincón de Romos",1,Aguascalientes,7,Rincón de Romos,1,Rincón de Romos,Av. Universidad 1001,Col. Estación Rincón,20400,-102.28136,22.22484,,
1281,Escuela Normal de Rincon de Romos Dr. Rafael Francisco Aguilar Lomelí,1,Aguascalientes,7,Rincón de Romos,1,Rincón de Romos,Aldama 205,Col. Santa Elena,20400,-102.32438,22.23248,,
2658,Instituto Tecnológico El Llano de Aguascalientes,1,Aguascalientes,10,El Llano,1,Palo Alto,"Carr. Aguascalientes - San Luis Potosí, km 18",,20330,-101.96531,21.91887,,
1227,"Tecnológico de Baja California, Campus Ensenada",2,Baja California,1,Ensenada,1,Ensenada,Av. Miguel 89,Col. Ampliación Moderna,22879,-116.6393,31.86505,,
2830,"Universidad Autónoma de Durango, Campus Ensenada",2,Baja California,1,Ensenada,1,Ensenada,Lago Victoria esq. Lago Chapala 568,Fracc. Valle Dorado,22890,-116.59513,31.80894,,
2032,Fundación Telecomunicaciones para Educación y Desarrollo (Teleddes),2,Baja California,1,Ensenada,1,Ensenada,Av. Punta Banda 141,Fracc. Chapultepec,22870,0,0,,
1228,"Centro de Enseñanza Técnica y Superior, Campus Ensenada",2,Baja California,1,Ensenada,1,Ensenada,"Camino Microondas Trinidad Km. 1, s/n Las Palmas 3ra. sección",Col. Moderna Oeste,22860,-116.66461,31.86783,,
1225,"Universidad Autónoma de Baja California, Campus Ensenada ",2,Baja California,1,Ensenada,1,Ensenada,Carr. Transpeninsular Ensenada - Tijuana 3917,Col. Playitas,22860,0,0,,
1230,"Universidad de Tijuana, Campus Ensenada",2,Baja California,1,Ensenada,1,Ensenada,Calle Miguel Alemán 889,Col. Ampliación Moderna,22860,-116.6435,31.86735,,
2423,Escuela Normal Estatal  Profr. Jesús Prado Luna,2,Baja California,1,Ensenada,1,Ensenada,Av. Eucalipto y de las Rosas s/n,Fracc. Valle Verde,22839,-116.60573,31.8848,,
2755,Instituto Tecnológico de Ensenada,2,Baja California,1,Ensenada,1,Ensenada,Blvd. Tecnológico 150,Ex Ejido Chapultepec,22780,-116.59513,31.80894,,
1298,"Universidad Interamericana para el Desarrollo, Sede Ensenada",2,Baja California,1,Ensenada,1,Ensenada,Blvd. Las Dunas y Caracoles 115,Fracc. Playa Ensenada,22880,-116.60602,31.85957,,
1293,"Universidad del Desarrollo Profesional, Plantel Ensenada",2,Baja California,1,Ensenada,1,Ensenada,Av. Adolfo López Mateos 2008 ,Fracc. Granados,22840,-116.60944,31.8561,,
2031,Centro de Investigación Científica y de Educación Superior de Ensenada (CICESE),2,Baja California,1,Ensenada,1,Ensenada,Carr. Ensenada-Tijuana 3918,Zona Playitas,22860,-116.66443,31.86817,,
2687,"Centro de Estudios Superiores de la Frontera, Campus Ensenada",2,Baja California,1,Ensenada,1,Ensenada,Av. Miramar esq. Calle 18 núm. 700,Zona Centro,22800,-116.59513,31.80894,,
2880,"Universidad Vizcaya de las Américas, Campus Ensenada",2,Baja California,1,Ensenada,1,Ensenada,Av. Moctezuma 1300,Centro,22800,-116.59513,31.80894,,
1229,"Universidad Xochicalco, Campus Ensenada",2,Baja California,1,Ensenada,1,Ensenada,San Francisco 1139 ,Fracc. Misión,22830,-116.61077,31.86989,,
1249,Universidad de Tijuana (CUT) Campus San Quintín,2,Baja California,1,Ensenada,857,San Quintín,Calle Tercera 139,Fracc. San Quintín,22940,0,0,,
2425,Escuela Normal Experimental Profr. Gregorio Torres Quintero,2,Baja California,1,Ensenada,857,San Quintín,Av. Daniel Quintero 551 ,Ejido Raúl Sánchez Díaz,22930,-115.92288,30.50991,,
2754,Instituto Superior de Filosofía,2,Baja California,2,Mexicali,1,Mexicali,Av. Madero 2000,Centro,21100,-115.47558,32.64118,,
2757,"Instituto Tecnológico de la Construcción, Campus Baja California",2,Baja California,2,Mexicali,1,Mexicali,Blvd. Las palmas 1293,Fracc. Los Pinos,21230,-115.47558,32.64118,,
2501,"Universidad del Desarrollo Profesional, Campus Mexicali",2,Baja California,2,Mexicali,1,Mexicali,Blvd. Lázaro Cárdenas 1999 esq. Venustiano Carranza,Col. Plutarco Elías Calles,21399,0,0,,
2710,"Escuela Normal del Valle de Mexicali, Ejido Campeche",2,Baja California,2,Mexicali,1,Mexicali,Prol. Morelos s/n,Col. Poblado Lic. Benito Juárez,21900,-115.47558,32.64118,,
1246,"Universidad de Tijuana,  Campus Mexicali",2,Baja California,2,Mexicali,1,Mexicali,Av. Reforma 1381,Fracc. Vista Hermosa,21100,-115.46935,32.6651,,
2684,"Centro de Estudios de Posgrado, Campus Mexicali",2,Baja California,2,Mexicali,1,Mexicali,"Blvd. Benito Juárez  1298, local 25",Fracc. Jardines del Valle,21270,-115.47558,32.64118,,
2682,Benemérita Escuela Normal Urbana Nocturna del Estado,2,Baja California,2,Mexicali,1,Mexicali,Av. Juan Escutia esq. Río San Lorenzo,Col. Prohogar,21240,-115.47558,32.64118,,
1267,Benemérita Escuela Normal Urbana Federal Fronteriza de Mexicali,2,Baja California,2,Mexicali,1,Mexicali,Churubusco s/n,Ex Ejido Coahuila,,-115.44115,32.62993,,
1269,"Centro de Enseñanza Técnica y Superior, Campus Mexicali",2,Baja California,2,Mexicali,1,Mexicali,Calz. Cetys s/n,Col. Rivera,21259,-115.41053,32.65454,,
1289,Universidad Pedagógica Nacional (UPN) U-021 Mexicali,2,Baja California,2,Mexicali,1,Mexicali,Av. José Antonio Torres y Río Mocorito s/n ,Col. Magisterial Independencia,21290,-115.43572,32.63067,,
2711,Escuela Normal Experimental Mtro. Rafael Ramírez,2,Baja California,2,Mexicali,1,Mexicali,Blvd. Delta s/n,Ejido Nuevo León,21705,-115.47558,32.64118,,
