comp_cine_id,comp_cine_nombre,comp_cine_npantallas,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,comp_cine_calle_numero,comp_cine_colonia,comp_cine_cp,gmaps_longitud,gmaps_latitud
870,Sala Nueve,0,21,Puebla,119,San Andrés Cholula,1,San Andrés Cholula,2 Nte 1205-A,San Juan Aquiahuac,72810,-98.29529,19.0559
313,Cinemex Sonata Platino ,7,21,Puebla,119,San Andrés Cholula,1,San Andrés Cholula,Paseo Sinfonía núm. 4,Lomas de Angelopolis,72830,-98.27812,18.99354
191,Cinebox,1,21,Puebla,132,San Martín Texmelucan,1,San Martín Texmelucan de Labastida,Blvd. Xicoténcatl s/n,Col. San Martín de Labastida,74000,-98.42321,19.28913
322,Cinépolis Tehuacán,12,21,Puebla,156,Tehuacán,1,Tehuacán,Calz. Adolfo López Mateos 3800,Col. San Lorenzo Teotipilco,75855,-97.4171,18.46866
628,Cinemas Reforma,4,21,Puebla,156,Tehuacán,1,Tehuacán,Reforma Sur 104,Centro,75700,-97.39424,18.46269
631,Cinema Henry,5,21,Puebla,174,Teziutlán,1,Teziutlán,Prol de Mina ,Plaza Crystal La Mesilla,73800,-97.36603,19.80664
633,Cinemagic Zacatlán,5,21,Puebla,208,Zacatlán,1,Zacatlán,Calle Nigromante 2,Col Sta. Julia,73310,-97.95854,19.93259
523,Cinemex Candiles,9,22,Querétaro,6,Corregidora,1,El Pueblito,Av. Prol.Candiles 204,Fracc. Camino Real,76921,-100.39451,20.54632
897,Cinépolis Citadina Corregidora,7,22,Querétaro,6,Corregidora,1,El Pueblito,Av. Constituyentes 1601,Col. El Pueblito,76904,-100.43436,20.53588
337,Cinemex Boulevares Querétaro,12,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,Blvd. Bernardo Quintana 4100,Col. Parques Residenciales,76170,-100.38767,20.61497
434,Cinépolis Esfera Querétaro,15,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,Autopista Querétaro-Celaya km.  600 núm. 5501,Col. Jardines de la Hacienda,76180,-100.40731,20.5763
338,Cinépolis Sendero Querétaro,12,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,"Av. Revolución 99, Ancla 2",Col. El Rocío,76114,-100.44078,20.61911
333,Xtreme Plaza Las Américas Querétaro,2,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,Av. Constituyentes 183 Ote.,Col. Carretas,76050,-100.3739,20.58773
335,Cinemex Centro Sur Querétaro,7,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,Blvd. Bernardo Quintana 502,Centro Sur,76090,-100.36102,20.56766
339,Xtreme Zaragoza,2,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,Av. Ignacio Zaragoza 150 Pte.,Centro,76000,-100.40016,20.58564
855,Cinépolis VIP Antea Querétaro,4,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,Carr. Querétaro a San Luis Potosí 12401,Col. El Salitre,76127,-100.43681,20.67502
899,Cinépolis La Victoria,10,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,"Av Constituyentes 40, Zona Dos Extendida",Col. Mercurio,76040,-100.38151,20.58459
898,Cinépolis VIP La Victoria,4,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,"Av Constituyentes 40, Zona Dos Extendida",Col. Mercurio,76040,-100.38151,20.58459
334,Cinépolis Plaza del Parque,6,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,Prol. Corregidora 691 Nte.,Centro,76168,-100.39173,20.61559
435,Cinépolis VIP Esfera Querétaro,11,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,Autopista Querétaro-Celaya Km 0.600 núm. 5501,Col. Jardines de la Hacienda,76180,-100.40759,20.57561
